Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AW10,AW11,AW12,AW1,AW2,AW3,AW4,AW5,AW6,AW7,AW8,AW9,BW10,BW12,BW13,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9
 Siglech,2.588969949,-4.454449251,0.730469055,-6.09806702,1.07E-09,1.20E-08,1.547579752,1.045728253,6.025747278,4.051882485,2.043251811,5.173531467,4.820248582,11.09679268,13.54380997,4.762597382,5.518450153,1.44782024,0,0,0,0,0,0,0,0,1.057838718,0,0,0
 Gp2,3.356450081,-4.576691692,0.67391625,-6.791187616,1.11E-11,1.89E-10,3.095159505,5.228641266,6.025747278,5.064853107,10.21625906,6.898041956,8.676447448,3.329037804,11.85083372,12.38275319,2.759225076,2.89564048,0,0,0,0,0,0,0,1.177313863,0,0.9548482,0,0
 Ighv2-7,2.648485776,-4.756285939,1.216350272,-3.910292987,9.22E-05,0.000310773,0,3.13718476,34.14590124,8.103764971,1.021625906,0,0.964049716,2.219358536,3.385952492,0,5.518450153,5.067370841,0,0,0,0,0,0,0,0,0,0,0,0
 Ighv7-2,2.684964035,-4.781730141,1.569076845,-3.047479896,0.00230769,0.005631369,27.85643554,15.6859238,0,3.038911864,0,12.07157342,0,0,3.385952492,0.952519476,0,1.44782024,0,0,0,0,0,0,0,0,0,0,0,0
 Defa40,4.641834053,-4.811298621,0.746041181,-6.449105953,1.13E-10,1.57E-09,2.321369629,9.411554279,1.004291213,9.116735592,2.043251811,6.035786712,14.46074575,6.658075609,16.92976246,6.667636334,6.438191845,26.78467444,0,0,0,0,0,0,0,3.53194159,0,0,0,0
 Trim30c,4.038803698,-4.847132426,0.729714163,-6.642508357,3.08E-11,4.86E-10,3.095159505,2.091456506,7.030038492,14.1815887,10.21625906,8.622552446,10.60454688,15.53550975,12.69732185,0.952519476,9.197416921,0.72391012,0,0,0,0,0,0,0.80569518,1.177313863,0,0,0,0
 Ugt1a9,3.376303154,-5.111629751,0.653330308,-7.823959314,5.12E-15,1.41E-13,3.868949381,4.182913013,6.025747278,6.077823728,4.086503622,4.311276223,8.676447448,5.54839634,10.15785748,12.38275319,9.197416921,6.515191081,0,0,0,0,0,0,0,0,0,0,0,0
 Igkv9-123,3.710402126,-5.23775516,0.861492899,-6.079858771,1.20E-09,1.33E-08,1.547579752,2.091456506,1.004291213,25.32426553,4.086503622,6.035786712,13.49669603,12.20647195,0,13.33527267,9.197416921,0.72391012,0,0,0,0,0,0,0,0,0,0,0,0
 Defa35,3.684177541,-5.248515192,0.759838665,-6.907407368,4.94E-12,8.97E-11,10.05926839,4.182913013,4.017164852,4.051882485,1.021625906,4.311276223,7.712397732,14.42583049,11.0043456,1.905038953,1.839483384,23.88903396,0,0,0,0,0,0,0,0,0,0,0,0
 C1rb,5.8555293,-5.898235131,0.655689054,-8.995475967,2.35E-19,1.05E-17,16.2495874,18.82310856,12.05149456,14.1815887,18.3892663,7.760297201,8.676447448,6.658075609,15.23678622,14.28779215,4.59870846,3.6195506,0,0,0,0,0,0,0,0,0,0,0,0
 Ifi202b,6.321012995,-6.005602481,0.627448911,-9.571460522,1.05E-21,5.94E-20,7.737898762,9.411554279,12.05149456,9.116735592,10.21625906,15.5205944,14.46074575,21.08390609,15.23678622,11.43023372,17.47509215,7.963011321,0,0,0,0,0,0,0,0,0,0,0,0
 C1s2,15.03708146,-6.771219813,0.612355494,-11.05766158,2.01E-28,1.81E-26,42.55844319,29.28039109,33.14161003,35.45397175,34.73528079,21.55638111,39.52603837,29.96134024,24.54815557,30.48062324,15.63560877,21.7173036,0,0,0,0,0,0,0,0,0,0,2.294807195,0
 Ifi44l,19.04798787,-7.604214122,0.816394012,-9.314392331,1.23E-20,6.29E-19,9.285478514,15.6859238,30.12873639,66.85606101,102.1625906,83.63875872,42.41818752,42.16781219,18.62273871,17.14535057,27.59225076,1.44782024,0,0,0,0,0,0,0,0,0,0,0,0
