"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AW10","AW11","AW12","AW1","AW2","AW3","AW4","AW5","AW6","AW7","AW8","AW9","BW10","BW12","BW13","BW1","BW2","BW3","BW4","BW5","BW6","BW7","BW8","BW9"
"534","ENSMUSG00000040254",9.51515029454214,-1.79398999010222,0.311492539556924,-5.75933533642265,8.44457917388275e-09,6.07713731214238e-08,14.7137413843579,3.13919707096119,19.0943289684255,13.1708920550764,15.3414797053572,17.2460499369853,22.2155007721718,13.3338637162628,17.7942926753907,14.321463196509,19.3302920830609,7.96533316471447,6.26046347982199,6.42274313177921,3.2634218118732,5.18210500180953,1.24076213531417,2.14153182989083,8.06123410484009,9.41587201747645,3.17519315950147,0.954343517871924,3.44556735569794,1.1339347938614
"535","ENSMUSG00000040264",237.027936175752,-5.75977173744809,0.319721997817952,-18.0149372791286,1.48749511479204e-72,4.38526219373587e-70,494.846354979194,1223.24045865121,190.943289684255,485.29671495243,541.042850942265,552.73590048038,610.443325565763,295.567312377159,311.823795454466,459.241586501389,214.474193112056,207.098662282576,5.21705289985166,3.85364587906753,8.70245816499521,10.3642100036191,1.24076213531417,7.4953614046179,12.8979745677441,8.2388880152919,12.7007726380059,9.54343517871924,9.18817961519451,12.4732827324754
"536","ENSMUSG00000040270",25.8228248857588,-1.21165105474016,0.179982442864173,-6.73205139044898,1.67287530758572e-11,2.18963030391827e-10,49.5620762420476,24.0671775440358,39.1936226193997,27.3549296528509,40.9106125476193,29.318284892875,48.2945668960256,27.7788827422142,36.4359326210382,43.9191538026277,34.0581336701548,32.5854538556501,17.7379798594956,6.42274313177921,19.5805308712392,9.50052583665081,12.4076213531417,12.849190979345,21.7653320830682,12.9468240240301,23.2847498363441,14.3151527680789,24.1189714898856,11.339347938614
"537","ENSMUSG00000040498",80.1515281040615,2.4412632254546,0.160584246361782,15.2023830529095,3.40987277683628e-52,6.56211072164493e-50,23.2322232384598,24.0671775440358,30.1489404764613,32.4206573663419,24.5463675285716,21.5575624212317,20.2837180963307,18.8896402647057,33.8938908102681,18.1405200489114,34.0581336701548,18.1030299198056,210.768937154007,118.178473624738,168.610126946782,164.963675890937,124.076213531417,164.897950901594,98.3470560790491,148.299984275254,116.423749181721,78.2561684654978,101.06997576714,130.402501294061
"538","ENSMUSG00000040680",71.0501836845102,2.80486021955586,0.172166078438162,16.2915961436812,1.13234924865853e-59,2.49044939514485e-57,19.3601860320499,7.32479316557611,21.1042583335229,21.2760563966618,18.4097756464287,21.5575624212317,16.4201527446487,15.55617433564,16.0995981348773,12.4119347703078,17.4893118846741,24.6201206909356,125.20926959644,166.99132142626,180.576006923651,110.551573371937,125.316975666731,178.817907795884,77.3878474064649,135.353160251224,103.722976543715,95.4343517871924,113.703722738032,80.5093703641596
"539","ENSMUSG00000040751",14.7548455585587,-1.08427646475326,0.25397872992153,-4.2691624810009,1.96208306362633e-05,6.39234021387407e-05,12.3905190605119,24.0671775440358,16.0794349207794,40.5258217079273,32.7284900380954,17.2460499369853,27.0449574617743,10.0003977871971,23.7257235671876,16.2309916227102,10.1253910911271,10.8618179518834,11.4775163796736,7.70729175813506,6.52684362374641,8.63684166968255,8.68533494719918,6.42459548967249,7.25511069435608,12.9468240240301,7.40878403883677,14.3151527680789,12.6337469708925,9.07147835089122
"540","ENSMUSG00000040794",16.3142011391196,1.08826369376226,0.277655783520704,3.91947064801951,8.87436677006186e-05,0.000249367726558461,20.1345934733319,9.41759121288358,2.00992936509742,8.10516434158547,18.4097756464287,12.0722349558897,9.65891337920511,13.3338637162628,8.47347270256702,10.5024063441066,1.84098019838675,10.1376967550911,19.8248010194363,38.5364587906753,27.19518176561,9.50052583665081,29.7782912475401,27.8399137885808,11.2857277467761,34.1325360633521,13.7591703578397,19.0868703574385,17.2278367784897,19.2768914956439
"541","ENSMUSG00000040836",30.1194373617073,-1.06670903011449,0.155653769165027,-6.8530883372541,7.22724244755906e-12,1.00341354061501e-10,49.5620762420476,50.2271531353791,42.2085166670459,36.4732395371346,35.7967859791668,49.1512423204082,39.601544854741,45.5573676972313,32.1991962697547,39.1453327371246,31.2966633725747,37.6543022331957,20.8682115994066,20.5527780216935,9.79026543561961,13.8189466714921,17.3706698943984,8.56612731956332,20.9592086725842,20.0087280371375,23.2847498363441,22.9042444289262,24.1189714898856,31.7501742281193
"542","ENSMUSG00000040856",25.827166329534,-3.36537475241664,0.338239169240349,-9.94968962339559,2.52970948303577e-23,1.22988261743662e-21,49.5620762420476,46.0415570407641,103.511362302517,28.3680751955491,51.1382656845241,37.0790073645184,33.8061968272179,73.3362504394455,31.351848999498,27.6881621799174,28.5351930749946,55.7573321530013,5.21705289985166,0,0,10.3642100036191,3.72228640594251,4.28306365978166,1.61224682096802,2.35396800436911,13.7591703578397,6.68040462510347,1.14852245189931,4.53573917544561
"543","ENSMUSG00000040936",7.5506182425262,-1.24973314292755,0.289106845079969,-4.3227379918378,1.54104704432792e-05,5.1489625864981e-05,14.7137413843579,7.32479316557611,13.0645408731332,9.11830988428365,13.2959490779763,9.48532746534193,8.6930220412846,11.1115530968857,7.62612543231031,15.2762274096096,9.20490099193374,8.6894543615067,2.08682115994066,5.13819450542337,2.1756145412488,3.45473666787302,9.92609708251335,0,8.06123410484009,4.70793600873823,3.17519315950147,5.72606110723154,6.89113471139589,2.26786958772281
"544","ENSMUSG00000040943",194.71108998613,-1.03501760789839,0.179964716831369,-5.7512251630314,8.85990211604981e-09,6.34105391115631e-08,291.17719792203,259.506957866125,282.395075796188,190.471362027258,173.870103327382,346.645603733405,266.586009266061,297.789622996536,302.502975481642,231.052939570346,239.327425790277,261.407752041993,90.7767204574188,84.7802093394856,91.3758107324497,103.642100036191,71.9642038482218,65.3167208116703,237.000282682299,96.5126881791336,157.70126025524,185.142642467153,199.842906630481,146.277588408121
"545","ENSMUSG00000041012",32.0095438017964,2.20547815207376,0.201713260780151,10.9337291140097,7.95122352552314e-28,5.24629300807851e-26,12.3905190605119,12.5567882838448,15.0744702382307,12.1577465123782,16.3642450190477,10.3476299621912,2.89767401376153,7.77808716781998,8.47347270256702,16.2309916227102,10.1253910911271,12.3100603454678,61.5612242182495,71.9347230759272,42.4244835543516,50.9573658511271,62.0381067657084,84.5905072806877,35.4694300612964,38.8404720720904,59.2702723106942,58.2149545901873,35.6041960088787,30.6162394342579
"546","ENSMUSG00000041134",26.2029974910245,-1.24804945709573,0.228636170166892,-5.45867023658031,4.79713776769871e-08,2.86875877899151e-07,33.2995199751258,33.4847687569194,50.2482341274356,27.3549296528509,33.7512553517859,62.9480822699964,32.8403054892974,40.0015911487885,29.6571544589846,33.416747458521,41.4220544637018,24.6201206909356,8.34728463976265,15.4145835162701,4.3512290824976,12.9552625045238,9.92609708251335,5.35382957472707,24.1837023145203,14.1238080262147,17.992761237175,17.1781833216946,34.4556735569794,21.5447610833667
"547","ENSMUSG00000041141",15.3578575164125,-1.04484084265853,0.222223966806307,-4.70174688029587,2.57945138444902e-06,1.03626785685491e-05,18.5857785907679,17.7887834021134,15.0744702382307,12.1577465123782,15.3414797053572,13.7968399495883,30.9085228134564,25.5565721228371,26.2677653779577,23.869105327515,23.0122524798344,25.3442418877279,8.34728463976265,11.5609376372026,3.2634218118732,7.7731575027143,19.8521941650267,13.9199568942904,11.2857277467761,7.06190401310734,6.35038631900295,14.3151527680789,11.4852245189931,5.66967396930702
"548","ENSMUSG00000041180",7.3102024353914,-1.65320489746863,0.366409791970556,-4.51190152036515,6.42490192674223e-06,2.33412273458155e-05,10.8417041779479,11.510389260191,8.03971746038969,7.09201879888728,3.06829594107144,11.2099324590405,18.3519354204897,13.3338637162628,17.7942926753907,9.54764213100601,8.28441089274037,15.2065451326367,1.04341057997033,0,0,3.45473666787302,3.72228640594251,3.21229774483624,10.4796043362921,2.35396800436911,1.05839771983383,6.68040462510347,6.89113471139589,2.26786958772281
