"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl","Symbol","AK10","AK11","AK12","AK13","AK1","AK2","AK3","AK4","AK5","AK6","AK7","AK9","AW10","AW11","AW12","AW1","AW2","AW3","AW4","AW5","AW6","AW7","AW8","AW9","BK10","BK13","BK1","BK2","BK3","BK4","BK5","BK6","BK7","BK8","BK9","BW10","BW12","BW13","BW1","BW2","BW3","BW4","BW5","BW6","BW7","BW8","BW9","Entrez"
"31818","ENSMUSG00000117298 - Gm9284",1.18583892984944,-3.63792116527118,0.544508633453395,-6.68110832733482,2.37141844482804e-11,3.98618996433093e-10,"ENSMUSG00000117298"," Gm9284",1.04328673731313,1.92139310404359,1.67289385652514,3.57917450278167,3.71973628172485,6.24958120526935,1.23653447413591,0,2.78611769829807,0,6.15829284837154,0.965140089398933,3.07441060867253,1.03660314615097,1.99707515329746,4.00890599390964,2.01822653012516,1.71748927406637,2.87734857712661,4.43161570011919,1.68049274160442,2.84220445724397,0,0.717906722745342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"668648"
"21271","ENSMUSG00000079071 - Slc28a2b",1.92139852408314,-3.63963832028846,0.48609343026374,-7.48752830976074,7.01827294581768e-14,1.54293129452028e-12,"ENSMUSG00000079071"," Slc28a2b",4.1731469492525,3.84278620808718,4.18223464131285,0.894793625695418,6.19956046954142,3.74974872316161,1.23653447413591,6.94943698885623,2.78611769829807,4.0064189254555,2.46331713934861,6.75598062579253,3.84301326084067,3.10980943845292,3.99415030659491,3.00667949543223,3.02733979518774,1.71748927406637,2.87734857712661,2.2158078500596,4.20123185401105,6.63181040023593,2.74906583857969,0.717906722745342,0,0,0.946593780524842,0,0,1.91567504910346,0,1.06409635264205,0,0,0,0,0,0,0,0,0,0,0,1.04763616736636,0,0,0,"381417"
"30453","ENSMUSG00000111875 - Gm5425",2.11480697469025,-3.65158845578456,0.490586252840264,-7.44331589938277,9.81889068224752e-14,2.13317715847932e-12,"ENSMUSG00000111875"," Gm5425",2.08657347462625,6.72487586415257,5.85512849783799,5.36876175417251,4.95964837563314,0,2.47306894827183,2.97833013808124,3.71482359773076,8.012837850911,3.69497570902292,2.8954202681968,2.3058079565044,4.14641258460389,3.99415030659491,8.01781198781928,8.07290612050063,5.15246782219912,1.91823238475108,1.1079039250298,1.68049274160442,0.94740148574799,3.66542111810625,3.58953361372671,0,0,0,0,0.727312020082945,0,0,0,0,0,0,0,0,0,0,0,2.1383959035082,0,1.17084746814549,1.04763616736636,0.948749725513192,0,0,"432482"
"7626","ENSMUSG00000030142 - Clec4e",2.90417569510857,-3.6596048625403,0.83706028835693,-4.37197285959385,1.23128834493586e-05,7.98452135823772e-05,"ENSMUSG00000030142"," Clec4e",6.25972042387875,0,29.2756424891899,0.894793625695418,19.8385935025326,4.99966496421548,2.47306894827183,0,0.92870589943269,4.0064189254555,0,44.3964441123509,1.53720530433627,0,0.998537576648728,5.01113249238705,1.00911326506258,0,1.91823238475108,0,0.84024637080221,2.84220445724397,0.916355279526562,0,0,0,0,0.887380669018506,2.90924808033178,0,1.53005746229016,0,0,0.992317979309663,0,0,0,0,0,1.23263198813973,0,0.798541469231336,0,0,0,0,0,"56619"
"26633","ENSMUSG00000096767 - Ighv1-62-3",3.63986696134147,-3.68486150234105,0.654055830726182,-5.63386385264671,1.76216155411087e-08,1.91191415261393e-07,"ENSMUSG00000096767"," Ighv1-62-3",4.1731469492525,15.3711448323487,10.0373631391508,3.57917450278167,0,3.74974872316161,12.3653447413591,8.93499041424372,4.64352949716345,2.67094595030367,0,48.2570044699467,2.3058079565044,3.10980943845292,6.98976303654109,10.0222649847741,1.00911326506258,8.58744637033187,1.91823238475108,1.1079039250298,4.20123185401105,0,3.66542111810625,2.87162689098137,0,0,0,0,0,0,0.765028731145079,0,0,8.93086181378697,0,0,0,0,0.858092468345638,0,0,0,0,0,0.948749725513192,0,0,"668549"
"12424","ENSMUSG00000042265 - Trem1",2.15515562883637,-3.69141601267705,0.909341492971887,-4.05943866106105,4.91908273627823e-05,0.000276715301528103,"ENSMUSG00000042265"," Trem1",2.08657347462625,0,25.9298547761397,0,12.3991209390828,0,0,0.992776712693747,2.78611769829807,9.34831082606284,0,35.7101833077605,0.768602652168134,0,0,1.00222649847741,1.00911326506258,0.858744637033187,0.959116192375538,1.1079039250298,0.84024637080221,0,0,0,1.0899067573625,0,0.946593780524842,0,0.727312020082945,0,0,0,0.982319526981829,0,0,0,0,0,0,0,0,0.798541469231336,0,0,0.948749725513192,0,0,"58217"
"28450","ENSMUSG00000102483 - Catspere1",1.2128235696263,-3.70174157483883,0.606632991955381,-6.10211054118055,1.04676936728578e-09,1.38738360097164e-08,"ENSMUSG00000102483"," Catspere1",5.21643368656563,3.84278620808718,0.83644692826257,0,4.95964837563314,2.49983248210774,0,1.98555342538749,0,0,2.46331713934861,0,1.53720530433627,0,0.998537576648728,3.00667949543223,4.03645306025032,2.57623391109956,6.71381334662876,2.2158078500596,3.36098548320884,0.94740148574799,5.49813167715937,4.30744033647205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"631584"
"6309","ENSMUSG00000027855 - Sycp1",2.23121267149666,-3.75014356209848,0.506891638018765,-7.39831411848947,1.37924283805678e-13,2.94094800989815e-12,"ENSMUSG00000027855"," Sycp1",2.08657347462625,0.960696552021796,4.18223464131285,6.26355537986792,6.19956046954142,8.74941368737709,0,0,9.2870589943269,0,4.92663427869723,1.93028017879787,5.38021856517693,1.03660314615097,4.99268788324364,4.00890599390964,2.01822653012516,5.15246782219912,4.79558096187769,4.43161570011919,3.36098548320884,6.63181040023593,8.24719751573906,4.30744033647205,1.0899067573625,0.987698151401894,0,0.887380669018506,0.727312020082945,0,0,0,0,0.992317979309663,0,0,0,0,0,1.23263198813973,0,0,0,0,0,0,0,"20957"
"6831","ENSMUSG00000028730 - Cfap57",4.39831996497368,-3.85963983885772,0.485454149641211,-7.95057543891694,1.85647149269697e-15,4.75024643193836e-14,"ENSMUSG00000028730"," Cfap57",12.5194408477575,4.80348276010898,4.18223464131285,2.68438087708625,4.95964837563314,3.74974872316161,2.47306894827183,4.96388356346873,1.85741179886538,9.34831082606284,6.15829284837154,19.3028017879787,17.6778609998671,13.4758408999627,7.98830061318982,6.01335899086446,9.08201938556321,1.71748927406637,17.2640914627597,7.75532747520858,7.56221733721989,5.68440891448794,4.58177639763281,17.9476680686335,0,0,0,0,0,0,1.53005746229016,0,0,0,0,0,0,0,0.858092468345638,0,3.2075938552623,0,0,0,2.84624917653958,3.40500635755653,1.1209732162336,"68625"
"22104","ENSMUSG00000082319 - Actr3-ps",38.7973886889535,-3.86343021286028,0.202879251747769,-19.0430030650128,7.50958153045746e-81,1.90892364290102e-78,"ENSMUSG00000082319"," Actr3-ps",161.709444283534,36.5064689768282,48.513921839229,98.4272988264959,69.4350772588639,92.4938018379864,102.632361353281,65.5232630377873,45.5065890722018,45.4060811551623,78.8261484591557,46.3267242911488,50.7277750430968,59.0863793306055,55.9181042923287,142.316162783792,111.002459156884,47.2309550368253,53.7105067730301,65.366331576758,66.3794632933746,60.6336950878713,65.9775801259125,40.2027764737391,5.4495337868125,5.92618890841137,3.78637512209937,4.43690334509253,2.18193606024883,3.83135009820692,2.29508619343524,1.06409635264205,4.91159763490915,1.98463595861933,7.83232172232586,3.10793477170528,6.37856283624517,6.47780010188719,5.14855481007383,6.16315994069863,4.27679180701639,7.98541469231336,7.02508480887295,9.42872550629726,3.79499890205277,3.40500635755653,6.7258392974016,"667799"
